id;nazwa;cena;skladniki;url;typ_wlosow;typ_skory;porowatosc_wlosow
1484;Sebastian Professional Trilliance;104;aqua, sodium laureth sulfate, sodium lauryl sulfate, glycol distearate, dimethicone, cocamidopropyl betaine, sodium citrate, cocamide mea, sodium xylenesulfonate, parfum, sodium benzoate, propylene glycol, citric acid, sodium chloride, salicylic acid, glycerin, tetrasodium edta, methylparaben, guar hydroxypropyltrimonium chloride, benzyl salicylates, hexyl cinnamal, benzyl benzoate, hydrochloric acid, quartz, sorbic acid, potassium sorbate, phosphoric acid, magnesium nitrates, methylchloroisothiazolinone, magnesium chloride, methylisothiazolinone;https://www.hebe.pl/sebastian-professional-szampon-wygladzajacy-powierzchnie-wlosa-250-ml-000000000000531145.html;puszace/suche;tlusta/lupiez;srednia
1485;Vcee;31;aqua, sodium laureth sulfate, cocamidopropyl betaine, sodium chloride, glycerin, sodium cocoamphoacetate, biotin, maltodextrin, tocopheryl acetate, niacinamide, calcium pantothenate, cyanocobalamin, pyridoxine hcl, riboflavin, thiamine nitrate, folic acid, ascorbic acid, hydrolyzed jojoba esters, helianthus annuus seed oil, lavandula angustifolia flower extract, cananga odorata flower extract, vanilla planifolia fruit extract, chamomilla recutita flower extract, melissa officinalis leaf extract, cinnamomum zeylanicum bark extract, cucumis sativus fruit extract, rosa canina fruit extract, ocimum basilicum leaf extract, eleutherococcus senticosus root extract, guar hydroxypropyltrimonium chloride, panthenol, peg-7 glyceryl cocoate, c12-13 alkyl lactate, parfum, sodium benzoate, potassium sorbate, benzyl alcohol, tocopherol, ethylhexylglycerin, citric acid, limonene, hexyl cinnamal, benzyl salicylate;https://www.hebe.pl/vcee-szampon-do-wlosow-z-koktajlem-witaminowym-200-ml-000000000000596691.html;normalne;normalna;srednia
1486;Sendo Melting;119;glycerin, sodium lauroyl methyl isethionate, aqua, sodium cocoyl isethionate, glyceryl stearate se, parfum, argania spinosa kernel oil, olea europaea fruit oil, helianthus annuus seed oil, olea europaea oil unsaponifiables, hydrogenated olive oil, brassica campestris sterols, forsythia suspensa fruit extract, cetearyl alcohol, tocopherol, beta-sitosterol, squalene, sodium stearoyl glutamate, citric acid, benzyl alcohol, glyceryl laurate, linalool;https://www.hebe.pl/sendo-odzywczy-szampon-do-wlosow-o-innowacyjnej-konsystencji-water-less-80-g-58534136.html;normalne;normalna;srednia
1487;Rich Pure Luxury;64;aqua, cocamidopropyl betaine, sodium c12-14 olefin sulfonate, sodium cocoyl isethionate, cocamide mea, glycol distearate, acrylates copolymer, glycerin, parfum, glyceryl laurate, phenoxyethanol, sodium lauroyl glutamate, sodium lauroyl sarcosinate, dmdm hydantoin, polyquaternium-7, tetrasodium edta, acrylamidopropyltrimonium chloride, cocos nucifera oil, ethylhexyl salicylate, polyquaternium-55;https://www.hebe.pl/rich-lekki-szampon-nadajacy-objetosc-250-ml-000000000000487640.html;normalne;normalna;srednia
1488;Sikha Daily Cuddle N.1;74;aqua, sodium c14-16 olefin sulfonate, cocamidopropyl betaine, disodium laureth sulfosuccinate, lauryl glucoside, sodium chloride, glycerin, c12-13 alkyl lactate, oryza sativa bran oil, parfum, citric acid, magnesium nitrate, methylchloroisothiazolinone, magnesium chloride, methylisothiazolinone;https://www.hebe.pl/sikha-szampon-do-wlosow-300-ml-74221563.html;normalne;normalna;srednia
1489;ZOE-T My.Life Purifying Ice-Relax;79;aqua, sodium laureth sulfate, cocamide dea, cocamidopropyl betaine, parfum, mentol, sodium benzoate, lactic acid, guar hidroxypropyltrimonium chloride;https://www.hebe.pl/zoe-t-szampon-oczyszczajacy-250-ml-74221595.html;normalne;normalna;niska
1490;Evolve Organic Beauty Monoi Rescue Shampoo;89;aqua, sodium coco-sulfate, coco-glucoside, cocamidopropyl betaine, caprylyl, gluconolactone, parfum, gardenia taitensis flower extract, hydrolyzed quinoa, aloe barbadensis leaf juice powder, hibiscus sabdariffa flower extract, cocos nucifera oil, glycerin, sodium chloride, sodium benzoate, glyceryl oleate, guar hydroxypropyltrimonium chloride, coconut acid, citric acid, hydrogenated castor oil, calcium gluconate, phytic acid, benzyl alcohol, benzoic acid, potassium sorbate, tocopherol, hydrogenated palm glycerides citrate, linalool;https://www.hebe.pl/evolve-organic-beauty-szampon-z-olejem-monoi-250-ml-76455787.html;normalne;sucha/wrazliwa;srednia
1491;Lisap Milano Lamelar;107;aqua, tea-lauryl sulfate, cocamidopropyl betaine, glycerin, sodium chloride, parfum, glyceryl oleate, coco-glucoside, guar hydroxypropyltrimonium chloride, sodium hyaluronate, tocopheryl acetate, polysorbate 20, panthenol, ethyltrimonium chloride, wheat protein copolymer, hydrolyzed vegetable protein, hydrolyzed rice protein, linseed acid, citric acid, benzoic acid, dehydroacetic acid, phenoxyethanol, ethylhexylglycerin, sodium benzoate, potassium sorbate;https://www.hebe.pl/lisap-milano-szampon-lamelarny-do-wlosow-500-ml-76246583.html;normalne;normalna;srednia
1492;Davines Love Smooth;92;sodium cocoyl isethionate, hydrogenated vegetable oil, aqua, polyglyceryl-4 laurate, sodium c14-16 olefin sulfonate, brassicamidopropyl dimethylamine, glycerin, parfum, cetrimonium chloride, helianthus annuus seed oil, cocamidopropyl betaine, citric acid, sodium xylenesulfonate, tetrasodium glutamate diacetate, olea europaea fruit extract, sodium chloride, citronellol, tocopherol;https://www.hebe.pl/davines-szampon-wygladzajacy-w-kostce-do-wlosow-puszacych-sie-i-niesfornych-100-g-70662610.html;normalne;normalna;srednia
1493;Macadamia Professional Rejuvenating;172;water, disodium laureth sulfosuccinate, cocamidopropyl betaine, cocamide mea, decyl glucoside, glycol distearate, guar hydroxypropyltrimonium chloride, cetyl betaine, sodium lauroyl lactylate, panthenol, glycereth-2 cocoate, argania spinosa kernel oil, macadamia integrifolia seed oil, polyquaternium-7, glycerin, triticum vulgare germ oil, camellia oleifera leaf extract, polysorbate 20, hydrolyzed vegetable protein pg-propyl silanetriol, tocopheryl acetate, lauryl betaine, sodium chloride, citric acid, disodium edta, magnesium nitrate, magnesium chloride, phenoxyethanol, methylchloroisothiazolinone, methylisothiazolinone, sodium benzoate, potassium sorbate, benzoic acid, sorbic acid, chlorphenesin, linalool, hexyl cinnamal, limonene, yellow 5, red 4, blue 1;https://www.hebe.pl/macadamia-professional-odmladzajacy-szampon-do-wlosow-1000-ml-46038571.html;normalne;normalna;srednia
1494;Morfose Keratin;57;aqua, sodium laureth sulfate, cocamidopropyl betaine, glycol distearate, cocamide mea, parfum, dimethicone, cetyl alcohol, guar hydroxypropyltrimonium chloride, soluble collagen, leuconostoc, sodium chloride, magnesium nitrate, methylchloroisothiazolinone, magnesium chloride, methylisothiazolinone, ci 42090, linalool;https://www.hebe.pl/morfose-szampon-do-wlosow-zniszczonych-1000-ml-51792907.html;puszace/suche;normalna;niska
1495;Coslys;55;aqua, lavandula hybrida flower water, sodium coco-sulfate, cocamidopropyl betaine, decyl glucoside, sodium chloride, glycerin, parfum, tetrasodium glutamate diacetate, sodium lauroyl oat amino acid, sodium lauroyl wheat aminoacids, coco alcohol, sodium sulfate, benzyl alcohol, glycine soja, tocopherol, sodium hydroxide, benzyl salicylate;https://www.hebe.pl/coslys-energetyzujacy-szampon-i-zel-pod-prysznic-2w1-ze-zbozami-750-ml-66717403.html;normalne;normalna;srednia
1496;Aveda BE CURLY ADVANCED SHAMPOO;322;water, sodium cocoyl methyl isethionate, sodium chloride, cocamide mipa, propanediol, babassuamidopropyl betaine, sodium methyl cocoyl taurate, glycol distearate, hydrolyzed pea protein, hydrolyzed vegetable protein, garcinia indica seed butter, helianthus annuus seed oil, glycerin, glycol stearate, ethyl macadamiate, behenyl, tocopherol, stearamidopropyl dimethylamine, guar hydroxypropyltrimonium chloride, citric acid, linalool, citral, limonene, citronellol, eugenol, geraniol, sodium phytate, phenoxyethanol, potassium sorbate, sodium benzoate;https://www.hebe.pl/aveda-uniwersalny-szampon-do-wlosow-1000-ml-77541553.html;normalne;normalna;srednia
1497;Arcadian Black River Barbershop x Arcadian;110;organic aloe barbadensis leaf juice, decyl glucoside, cocamidopropyl betaine, glycerin, polysorbate 20, phenoxyethanol, xanthan gum, cucurbita pepo fruit powder, cannabis sativa seed extract, citrus aurantium dulcis peel oil, citrus aurantium bergamia fruit oil, pogostemon cablin oil, eugenia caryophyllus flower oil, citrus grandis peel oil, ribes nigrum seed oil, potassium sorbate, citric acid;https://www.hebe.pl/arcadian-szampon-do-wlosow-236-ml-62013887.html;normalne;sucha/wrazliwa;srednia
1498;Aveda Sap Moss Weightless;112;wateraqua, sodium coco-sulfate, sodium lauroyl methyl isethionate, cetyl alcohol, sodium methyl cocoyl taurate, babassuamidopropyl betaine, stearamidopropyl dimethylamine, sodium chloride, citric acid, galactoarabinan, cetraria islandica extract, cocos nucifera oil, aleurites moluccana seed oil, tocopherol, glycine soja oil, arginine, glycerin, guar hydroxypropyltrimonium chloride, linalool, geraniol, amyl cinnamal, citronellol, hydroxycitronellal, limonene, sodium laureate, lauric acid, sodium sulfate, sodium phytate, propanediol, phenoxyethanol, potassium sorbate, charcoal powder, iron oxides, iron oxides, iron oxides;https://www.hebe.pl/aveda-nawilzajacy-szampon-do-wlosow-200-ml-77541537.html;normalne;normalna;srednia
1499;Balmain Revitalizing;258;aqua, sodium coceth sulfate, cocamidopropyl, betaine, peg-200 hydrogenated glyceryl palmate, peg/ppg-14/4 dimethicone, plyquaternium-7, distearyl ether, dicaprylyl ether, sodium laureth sulfate, guar hydroxypropyltrimonium chloride, plyquaternium-10, xanthan gum, peg-7 glyceryl cocoate, peg-4 distearyl ether, lactobacillus, lactobacillus, hamamelis virginiana leaf extract, rice amino acids, hydrolyzed wool, glycerin, sorbitol, lecithin, retinyl palmitate, panthenol, silanetriol melaninate, polyperfluoroethoxymethoxy difluoroethyl peg phosphate, superoxide dismutase, tocopheryl acetate, glyceryl linoleate, glyceryl linoleate diatomaceous earth, sodium chloride, citric acid, sodium benzoate, ethylhexylglycerin, phenoxyethanol, parfum;https://www.hebe.pl/balmain-szampon-rewitalizujacy-do-wlosow-zniszczonych-i-lamliwych-300-ml-49829830.html;puszace/suche;normalna;srednia
1500;Collistar Attivi Puri Hair Phyto-Keratin;79;aqua, sodium coco-sulfate, disodium laureth sulfosuccinate, cocamidopropyl betaine, coco-glucoside, parfum, hydrolyzed rice protein, proline, arginine, sodium pca, sodium methyl cocoyl taurate, polysorbate 20, citric acid, sodium benzoate, cocodimonium hydroxypropyl hydrolyzed wheat protein, sucrose cocoate, potassium sorbate, peg-7 amodimethicone, polyquaternium-10, guar hydroxypropyltrimonium chloride, propanediol, phytic acid, camelina sativa seed oil;https://www.hebe.pl/collistar-szampon-do-wlosow-z-fitokeratyna-250-ml-77167247.html;krecone/falowane;normalna;wysoka
1501;Abril et Nature Essential Light;253;aqua, sodium laureth sulfate, sodium lauroamphoacetate, cocamidopropyl betaine, parfum, sodium chloride, benzyl alcohol, amodimethicone, piper nigrum extract, citric acid, sodium caproyl lactylate, butylene glycol, benzoic acid, dehydroacetic acid, guar hydroxypropyltrimonium chloride, c11-c15 pareth-7, laureth-9, glycerin, trideceth-12, peg-90 glyceryl isostearate, sodium benzoate, laureth-2, inga alba bark extract, sodium hydroxide, malus domestica extract, xanthan gum, lecithin, phenoxyethanol, hexyl cinnamal, limonene, linalool;https://www.hebe.pl/abril-et-nature-regenerujacy-szampon-do-wlosow-cienkich-i-lamliwych-1000-ml-73650291.html;puszace/suche;normalna;srednia
1502;Lowengrip The Cure;99;aqua, cocamidopropyl betaine, sodium lauroyl methyl isethionate, disodium laureth sulfosuccinate, sodium lauryl sulfoacetate, sodium chloride, glycerin, glycol distearate, cystoseira compressa extract, ricinus communis seed oil, hydrolyzed wheat protein, zea mays starch, amodimethicone, dehydroacetic acid, peg-150 pentaerythrityl tetrastearate, trideceth-5, guar hydroxypropyltrimonium chloride, ppg-2 hydroxyethyl cocamide, calcium gluconate, gluconolactone, lactic acid, potassium sorbate, sodium benzoate, benzoic acid, phenoxyethanol, benzyl alcohol, parfum;https://www.hebe.pl/lowengrip-szampon-do-wlosow-regenerujacy-250-ml-60646470.html;puszace/suche;normalna;wysoka
1503;MagMari Aureum Color;121;aqua, sodium laureth sulfate, glycerin, cocamidopropyl betaine, sodium chloride, polyquaternium-7, sorbitol, sodium pca, sodium lactate, caprylyl glycol, parfum, cocamide dea, glycol distearate, hydrolyzed vegetable protein, hydrolyzed pea protein, gossypium herbaceum seed extract, amber extract, propylene glycol, peg-20 castor oil, alcohol denat, zea mays oil, aesculus hippocastanum seed extract, calcium pantothenate, inositol, retinol, rosa moschata seed oil, tocopheryl acetate, biotin, benzyl salicylate, citric acid, methylchloroisothiazolinone, methylisothiazolinone, ci 15985, ci 42080;https://www.hebe.pl/magmari-szampon-do-wlosow-farbowanych-z-bursztynem-1000-ml-77522704.html;normalne;normalna;srednia
1504;MagMari Argenti Silver;60;aqua, sodium laureth sulfate, glycerin, cocamidopropyl betaine, ammonium lauryl sulfate, sodium chloride, cetrimonium chloride, panthenol, hydrolyzed silk, polyquaternium-7, isopropyl alcohol, magnesium nitrate, magnesium chloride, sorbic acid, citric acid, methylchloroisothiazolinone, methylisothiazolinone, phenoxyethanol, methylparaben, propylparaben, parfum, limonene, linalool, ci 60730;https://www.hebe.pl/magmari-szampon-do-wlosow-blond-rozjasnianych-i-siwych-500-ml-77522703.html;normalne;normalna;srednia
1505;Mondy Hanami;97;aqua, sodium laureth sulfate, sodium chloride, cocamidopropyl betaine, ammonium lauryl sulfate, cocamide dea, parfum, tetrasodium edta, glycol disterate, propylene glycol, mel extract, glycerin, gossypium herbaceum seed extract, babassu oil grycereth, linalool, hexyl cinnamal, limone, citric acid, methylchloroisothiazolinone, methylisothiazolinone, ci 16256;https://www.hebe.pl/mondy-szampon-nawilzajacy-do-wszystkich-rodzajow-wlosow-5000-ml-77522708.html;normalne;normalna;srednia
1506;Mondy Color Total;97;aqua, sodium laureth sulfate, sodium chloride, cocamidopropyl betaine, ammonium lauryl sulfate, cocamide dea, glycol disterate, parfum, tetrasodium edta, polyquaternium-37, glucerin, sorbitol, sodium pca, sodium lactate, caprylyl glycol, gossypium herbaceum seed extract, citric acod, linalool, methylchloroisothiazolinone, methylisothiazolinone, ci 60730;https://www.hebe.pl/mondy-szampon-do-wlosow-farbowanych-chroniacy-kolor-5000-ml-77522706.html;normalne;normalna;niska
1507;Echosline Energy;46;aqua, ammonium lauryl sulfate, sodium myreth sulfate, sodium cocoamphoacetate, sodium chloride, parfum, lactic acid, sodium benzoate, guar hydroxypropyltrimonium chloride, sodium hydroxide, propanediol, propylene glycol, hydrolyzed wheat protein, citric acid, linalool, tartaric acid, hexyl cinnamal, gluconic acid, phenoxyethanol, hydrolyzed soy protein, rosmarinus officinalis leaf extract, urtica dioica extract, hydrolyzed corallina officinalis extract, sorbic acid, ethylhexylglycerin;https://www.hebe.pl/echosline-energizujacy-szampon-do-wlosow-slabych-i-cienkich-1000-ml-59728459.html;normalne;normalna;wysoka
1508;Berani Femme;159;aqua, propanediol, sodium lauroyl methyl isethionate, glycerin, betaine, cocamidopropyl betaine, sodium cocoamphoacetate, sodium cocoyl isethionate, sodium methyl oleoyl taurate, parfum, cynara scolymus leaf extract, hydrolyzed corn protein, hydrolyzed soy protein, panthenol, arginine, hydrolyzed wheat gluten, lactobacillus ferment, avena sativa kernel extract, scutellaria baicalensis root extract, phyllanthus emblica fruit extract, coco-betaine, cinchona succirubra bark extract, glycine soja germ extract, triticum vulgare germ extract, gluconolactone, malachite extract, guar hydroxypropyltrimonium chloride, calcium gluconate, lactic acid, dehydroacetic acid, benzyl alcohol, phenethyl alcohol, sodium benzoate, potassium sorbate, caprylyl glycol, citric acid, alpha-isomethyl ionone, benzyl benzoate, citronellol, coumarin, hexyl cinnamal, limonene, linalool;https://www.hebe.pl/berani-naturalny-szampon-do-wlosow-farbowanych-z-innowacyjnym-skladnikiem-kerascalp-300-ml-64657299.html;normalne;normalna;srednia
1509;Zielone Laboratorium;82;aqua, cocamidopropyl betaine, lauryl glucoside, behenamidopropyl dimethylamine, glycerin, citrus aurentifolia oil, citrus aurantium bergamia fruit oil, cinnamomum zeylanicum bark oil, linum usitatissimum seed extract, equisetum arvense extract, panthenol, phytic acid, tocopherol, caprylic, alcohol, sodium hydroxide, sodium citrate, ascorbyl palmitate, ascorbic acid, citric acid, potassium sorbate, sodium benzoate, lactic acid, d-limonene, citral, linalool, cinnamal;https://www.hebe.pl/zielone-laboratorium-szampon-do-wlosow-wygladzajacy-skrzyp-i-len-250-ml-58293209.html;normalne;normalna;srednia
